end,start,title,longitude,latitude
2025-03-01T00:00:00.000-0500,2011-03-18T00:00:00.000-0400,AUDIOTOPIE: VIDÉO AUDIOTRAME,-73.60381 ,45.53521
2025-03-01T00:00:00.000-0500,2011-03-18T00:00:00.000-0400,AUDIOTOPIE : VILLE SANS VOITURES,-73.57140 ,45.50401
2025-03-01T00:00:00.000-0500,2011-03-18T00:00:00.000-0400,AUDIOTOPIE : ACCESSIBILITÉ UNIVERSELLE,-73.55963,45.51466
2025-12-31T00:00:00.000-0500,2011-04-17T00:00:00.000-0400,EXPOSITION DE LA GALERIE VISUAL VOICE,-73.5673,45.5058
2025-12-31T00:00:00.000-0500,2011-05-15T00:00:00.000-0400,EXPOS LES TERRITOIRES,-73.5673,45.5058
2017-05-20T00:00:00.000-0400,2011-05-20T00:00:00.000-0400,EXPLORA - CANAL DE LACHINE,-73.66920,45.43159
2025-12-31T00:00:00.000-0500,2011-05-29T00:00:00.000-0400,EXPOS DE LA GALERIE TROIS POINTS,-73.5673,45.5058
2158-01-01T00:00:00.000-0500,1958-01-01T00:00:00.000-0500,ICI NAQUIT MONTRÉAL,-73.55420,45.50305
2025-12-31T00:00:00.000-0500,2012-12-10T00:00:00.000-0500,LA SAINTE FAMILLE À L’HONNEUR!,-73.61990,45.49401
2025-12-31T00:00:00.000-0500,2012-12-10T00:00:00.000-0500,LES CRÈCHES DU QUÉBEC À L’HONNEUR,-73.61990,45.49401
2025-01-01T00:00:00.000-0500,2013-01-01T00:00:00.000-0500,À BÂBORD! | REVUE SOCIALE ET POLITIQUE,-73.56776,45.50500
2025-01-01T00:00:00.000-0500,2013-01-01T00:00:00.000-0500,24 IMAGES | CINÉMA,-73.56776,45.50500
2025-12-31T00:00:00.000-0500,2013-02-27T00:00:00.000-0500,EXPOS DE LA GALERIE LILIAN RODRIGUEZ,-73.5673,45.5058
2025-04-22T00:00:00.000-0400,2013-04-22T00:00:00.000-0400,LES MOULINS DE L'IMAGINATION,-73.55316,45.49948
